slot,url,type,note
01,https://www.instagram.com/p/Cw-K2axIlYg/,reel,case reel
02,https://www.instagram.com/p/Cw-K69JoBtX/,reel,skip first 1.5 seconds when adding to website
03,https://www.instagram.com/p/DZ7XQb_CP83/?img_index=1,carousel,download carousel images and use on website
04,https://www.instagram.com/p/DZNU9b2IT0X/,testimonial,testimonial video 1
05,https://www.instagram.com/p/DZCwFrdo_cD/,testimonial,testimonial video 2
06,https://www.instagram.com/p/DYrh8kWIPIS/,testimonial,doctor working on case plus after showcase and testimonial
07,https://www.instagram.com/p/DXomfNHjHTy/?img_index=1,carousel,download carousel images and use on website
08,https://www.instagram.com/p/DWn-VFDjEJM/,testimonial,testimonial video 3
09,https://www.instagram.com/p/DW3xF3NjEnN/,testimonial,testimonial video 4
10,https://www.instagram.com/p/DVx-uKQjH7I/,testimonial,testimonial video 5
11,https://www.instagram.com/p/DVMIhJsDKJ4/,testimonial,testimonial video 6
12,https://www.instagram.com/p/DT2uW2xDNZK/,reel,attractive after-only case reel
13,https://www.instagram.com/p/DTu0d-xjFDx/?img_index=1,carousel,before and after carousel with full face shown
14,https://www.instagram.com/p/DUAjPT_jB8P/?img_index=1,carousel,before and after carousel 2 with full face shown
15,https://www.instagram.com/p/DOGWCVMCGVH/?img_index=1,carousel,facing to veneers before and after for SEO page
16,https://www.instagram.com/p/DJ1JpwvIzZD/?img_index=1,carousel,male case with tooth texture details
17,https://www.instagram.com/p/DJucmWnoPxG/,reel,facing to veneers 2
18,https://www.instagram.com/p/DIgG3l4IGN_/?img_index=1,carousel,facing to veneers 3 male case
19,https://www.instagram.com/p/DB3hWNLoijl/,reel,case reel

